iterations,train_pairwise_ranking_loss,test_pairwise_ranking_loss,iterations_done,resumed_from,epoch_interrupt_received,received_first_batch,epochs_done,training_started,batch_interrupt_received,epoch_started
22866,9.47864437103,13.1232242584,22866.0,,False,True,74.0,True,False,False
23175,12.7084646225,13.6989822388,23175.0,,False,True,75.0,True,False,False
23484,9.39630413055,11.6521673203,23484.0,,False,True,76.0,True,False,False
23793,9.71953773499,12.3397912979,23793.0,,False,True,77.0,True,False,False
24102,9.40860939026,13.3668727875,24102.0,,False,True,78.0,True,False,False
24411,8.99963951111,10.7629623413,24411.0,,False,True,79.0,True,False,False
24720,9.97382545471,12.6063375473,24720.0,,False,True,80.0,True,False,False
25029,9.90144538879,11.0781164169,25029.0,,False,True,81.0,True,False,False
25338,9.67095184326,10.5498638153,25338.0,,False,True,82.0,True,False,False
25647,8.96160030365,12.4469394684,25647.0,,False,True,83.0,True,False,False
25956,9.63842964172,10.0380601883,25956.0,,False,True,84.0,True,False,False
26265,9.54372119904,10.4156475067,26265.0,,False,True,85.0,True,False,False
26574,8.56904125214,10.1354885101,26574.0,,False,True,86.0,True,False,False
26883,8.81117343903,10.9607753754,26883.0,,False,True,87.0,True,False,False
27192,9.62256526947,14.2085342407,27192.0,,False,True,88.0,True,False,False
27501,8.21765613556,11.4813785553,27501.0,,False,True,89.0,True,False,False
27810,8.21570777893,8.990858078,27810.0,,False,True,90.0,True,False,False
28119,8.28158760071,10.9322824478,28119.0,,False,True,91.0,True,False,False
28428,7.947306633,10.6853885651,28428.0,,False,True,92.0,True,False,False
28737,8.24703502655,10.8366527557,28737.0,,False,True,93.0,True,False,False
29046,8.27595615387,10.894071579,29046.0,,False,True,94.0,True,False,False
29355,8.40848922729,11.5571584702,29355.0,,False,True,95.0,True,False,False
29664,8.47717571259,10.7128696442,29664.0,,False,True,96.0,True,False,False
29973,7.27123641968,9.3255405426,29973.0,,False,True,97.0,True,False,False
30282,7.76798009872,10.049829483,30282.0,,False,True,98.0,True,False,False
30591,8.1769990921,9.85095310211,30591.0,,False,True,99.0,True,False,False
30900,7.49687576294,9.37380027771,30900.0,,False,True,100.0,True,False,False
31209,7.22206926346,9.46345233917,31209.0,,False,True,101.0,True,False,False
31518,8.14582824707,8.87004089355,31518.0,,False,True,102.0,True,False,False
31827,8.24398899078,10.6798400879,31827.0,,False,True,103.0,True,False,False
32136,7.82409238815,10.1162490845,32136.0,,False,True,104.0,True,False,False
32445,7.94308423996,9.52277946472,32445.0,,False,True,105.0,True,False,False
32754,8.11597824097,10.9794712067,32754.0,,False,True,106.0,True,False,False
33063,7.34801578522,9.22907447815,33063.0,,False,True,107.0,True,False,False
33372,7.27030944824,9.91462135315,33372.0,,False,True,108.0,True,False,False
33681,7.85670375824,9.53901481628,33681.0,,False,True,109.0,True,False,False
33990,7.63840723038,10.4807386398,33990.0,,False,True,110.0,True,False,False
34299,7.33299827576,10.5714073181,34299.0,,False,True,111.0,True,False,False
34608,7.75763320923,10.1757040024,34608.0,,False,True,112.0,True,False,False
34917,7.36534357071,11.0668745041,34917.0,,False,True,113.0,True,False,False
35226,7.99950695038,10.8986606598,35226.0,,False,True,114.0,True,False,False
35535,8.21548080444,9.9254617691,35535.0,,False,True,115.0,True,False,False
35844,7.36745595932,12.4170408249,35844.0,,False,True,116.0,True,False,False
36153,7.07878875732,10.7321624756,36153.0,,True,True,117.0,True,False,False
